camis,dba,boro,building,street,zipcode,phone,cuisine_description,inspection_date,action,critical_flag,record_date,inspection_type,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta,violation_code,violation_description,score,grade,grade_date
50002431,DUE AMICI,Queens,,JFK INTERNATIONAL AIRPORT,11430,6464835087,Italian,2018-11-27T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,40.648312826068,-73.788281497594,,,,,,,09C,Food contact surface not properly maintained.,12.0,A,2018-11-27T00:00:00.000
50155025,MARY O'S IRISH SODA BREAD SHOP,Manhattan,93 1/2,EAST    7 STREET,10009,2125055611,Irish,2024-10-17T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Pre-permit (Non-operational) / Initial Inspection,40.726810422053,-73.985337431337,,,,,,,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",24.0,N,
50128822,STARBUCKS,Queens,,AIRPORT TERMINAL B,11371,2018218189,Coffee/Tea,2023-04-18T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Pre-permit (Operational) / Initial Inspection,,,,,,,,,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,6.0,A,2023-04-18T00:00:00.000
50078965,OCEANVIEW BITES,Brooklyn,BOARDWALK,AT WEST 8TH STREET,11224,7187411426,American,2019-06-15T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Pre-permit (Operational) / Initial Inspection,,,,,,,,,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",9.0,A,2019-06-15T00:00:00.000
50134609,ESSEX SQUEEZE,Manhattan,NKA,HIGH LINE PARK W 15TH ST,10011,9179394070,"Juice, Smoothies, Fruit Salads",2023-07-20T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Pre-permit (Operational) / Initial Inspection,,,,,,,,,08B,"Garbage receptacle not pest or water resistant, with tight-fitting lids, and covered except while in active use. Garbage receptacle and cover not cleaned after emptying and prior to reuse. Garbage, refuse and other solid and liquid waste not collected, stored, removed and disposed of so as to prevent a nuisance.",22.0,N,
41362369,HOT & COLD TABLES/FOOD COURT KITCHEN,Queens,,JFK INTERNATIONAL AIRPORT,11430,3476422534,American,2023-08-17T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,40.648312826068,-73.788281497594,,,,,,,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",6.0,A,2023-08-17T00:00:00.000
50058445,JAMBA JUICE,Manhattan,,AMTRAK LEVEL,10001,2126952602,"Juice, Smoothies, Fruit Salads",2022-01-14T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,,,,,,,,,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,12.0,A,2022-01-14T00:00:00.000
50135548,PANORAMA,Queens,LA GUARDIA,AIRPORT,11371,7037237264,American,2024-01-25T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Pre-permit (Operational) / Initial Inspection,,,,,,,,,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",5.0,A,2024-01-25T00:00:00.000
50093943,CREME,Manhattan,27 1/2,ESSEX STREET,10002,9173783958,Coffee/Tea,2023-10-31T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,40.715722034668,-73.989675870276,,,,,,,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",12.0,A,2023-10-31T00:00:00.000
50010248,CAFE GRUMPY,Manhattan,,LEXINGTON AVE,10017,2126612198,Coffee/Tea,2023-12-07T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,,,,,,,,,09C,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",32.0,,
41570371,LAVAZZA ESPRESSO BAR,Queens,,JFK INTERNATIONAL AIRPORT,11430,7187511634,American,2018-04-12T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,40.648312826068,-73.788281497594,,,,,,,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",7.0,A,2018-04-12T00:00:00.000
41642422,STARBUCKS,Manhattan,49 1/2,1 AVENUE,10003,2127771752,Coffee/Tea,2024-10-03T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,40.724664263603,-73.987434036515,,,,,,,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",9.0,A,2024-10-03T00:00:00.000
50118708,STARBUCKS RESERVE,Queens,,TERMINAL C HEADHOUSE LEVEL 3,11371,9297895469,Coffee/Tea,2022-10-26T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Pre-permit (Operational) / Initial Inspection,,,,,,,,,06C,"Food, supplies, and equipment not protected from potential source of contamination during storage, preparation, transportation, display or service.",8.0,A,2022-10-26T00:00:00.000
50089991,THE BALLSFIELD CAFE,Manhattan,HECKSCHER,BALLFIELDS IN CENTRAL PARK,10023,6312527000,Coffee/Tea,2019-06-26T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Pre-permit (Operational) / Initial Inspection,,,,,,,,,09C,Food contact surface not properly maintained.,6.0,A,2019-06-26T00:00:00.000
50118706,STARBUCKS CONNECTOR/CIBO EXPRESS,Queens,,"TERMINAL C, LEVEL 3, CONCOURSE E",11371,2159970667,Coffee/Tea,2024-10-30T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,,,,,,,,,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",11.0,A,2024-10-30T00:00:00.000
50118707,STARBUCKS DEPARTURE,Queens,,TERMINAL C LEVEL 2 CONCOURSE E,11371,2159970667,Coffee/Tea,2022-10-19T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Pre-permit (Operational) / Initial Inspection,,,,,,,,,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",11.0,A,2022-10-19T00:00:00.000
50002425,CIBO MARKET,Queens,,JFK INTERNATIONAL AIRPORT,11430,9292591541,American,2016-12-07T00:00:00.000,No violations were recorded at the time of this inspection.,Not Applicable,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,40.648312826068,-73.788281497594,,,,,,,,,0.0,A,2016-12-07T00:00:00.000
50002433,BROOKLYN BEER GARDEN,Queens,,JFK INTERNATIONAL AIRPORT,11430,9292591542,German,2019-03-07T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,40.648312826068,-73.788281497594,,,,,,,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",10.0,A,2019-03-07T00:00:00.000
50129114,PRIMOS BAKERY CAFE,Queens,4718/20,JUNCTION BLVD,11368,7182713183,Bakery Products/Desserts,2023-08-11T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Pre-permit (Operational) / Initial Inspection,,,,,,,,,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,38.0,,
50118707,STARBUCKS DEPARTURE,Queens,,TERMINAL C LEVEL 2 CONCOURSE E,11371,2159970667,Coffee/Tea,2022-10-19T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Pre-permit (Operational) / Initial Inspection,,,,,,,,,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",11.0,A,2022-10-19T00:00:00.000
50078965,OCEANVIEW BITES,Brooklyn,BOARDWALK,AT WEST 8TH STREET,11224,7187411426,American,2018-06-26T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Pre-permit (Non-operational) / Initial Inspection,,,,,,,,,05C,Food contact surface improperly constructed or located. Unacceptable material used.,28.0,,
41629672,DUNKIN,Queens,,JFK INTERNATIONAL AIRPORT,11430,6316620284,Donuts,2022-08-08T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,40.648312826068,-73.788281497594,,,,,,,06C,"Food, supplies, and equipment not protected from potential source of contamination during storage, preparation, transportation, display or service.",22.0,,
50125420,MADE IN NEW YORK PIZZA,Manhattan,271 1/2,AMSTERDAM AVENUE,10023,5164597400,Pizza,2022-11-09T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Pre-permit (Operational) / Initial Inspection,40.779017919773,-73.981310731227,,,,,,,06C,"Food, supplies, and equipment not protected from potential source of contamination during storage, preparation, transportation, display or service.",49.0,,
50103409,EAT PRETTY COFFEE + KITCHEN,Manhattan,501 1/2,EAST   83 STREET,10028,6465908190,Coffee/Tea,2023-03-13T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Re-inspection,40.773828398358,-73.948193324494,,,,,,,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",10.0,A,2023-03-13T00:00:00.000
41543919,CROQUE MADAME,Queens,,JFK INTERNATIONAL AIRPORT,11430,9292414616,American,2016-12-07T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,40.648312826068,-73.788281497594,,,,,,,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",3.0,A,2016-12-07T00:00:00.000
50118684,SAITO,Manhattan,70 72,KENMARE ST,10012,6462809086,Japanese,2023-03-23T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Pre-permit (Operational) / Initial Inspection,,,,,,,,,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,16.0,N,
41629692,DUNKIN,Queens,,JFK INTERNATIONAL AIRPORT,11430,3472191094,Donuts,2024-08-22T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Cycle Inspection / Re-inspection,40.648312826068,-73.788281497594,,,,,,,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",29.0,C,2024-08-22T00:00:00.000
50118708,STARBUCKS RESERVE,Queens,,TERMINAL C HEADHOUSE LEVEL 3,11371,9297895469,Coffee/Tea,2024-10-30T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,,,,,,,,,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",12.0,A,2024-10-30T00:00:00.000
41629692,DUNKIN,Queens,,JFK INTERNATIONAL AIRPORT,11430,3472191094,Donuts,2024-06-20T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,40.648312826068,-73.788281497594,,,,,,,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",33.0,,
50135174,MCDONALDS,Queens,,JFK TERMINAL 4,11430,5165870171,American,2023-05-11T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Pre-permit (Operational) / Initial Inspection,40.643437501693,-73.782117194187,,,,,,,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2.0,A,2023-05-11T00:00:00.000
50129114,PRIMOS BAKERY CAFE,Queens,4718/20,JUNCTION BLVD,11368,7182713183,Bakery Products/Desserts,2023-08-22T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Pre-permit (Operational) / Re-inspection,,,,,,,,,28-05,"Food adulterated or misbranded. Adulterated or misbranded food possessed, being manufactured, produced, packed, sold, offered for sale, delivered or given away",20.0,B,2023-08-22T00:00:00.000
50098605,ROSSI PIZZA,Queens,OOO,LAGUARDIA AIRPORT,11371,2159970667,Pizza,2022-10-27T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,40.774414029772,-73.877293351848,,,,,,,10G,"Dishwashing and ware washing:  Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",12.0,A,2022-10-27T00:00:00.000
50067032,DEATH AVENUE: TAP ROOM,Manhattan,,10TH AVE,10001,2126958080,American,2022-06-14T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,,,,,,,,,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",11.0,A,2022-06-14T00:00:00.000
50103409,EAT PRETTY COFFEE + KITCHEN,Manhattan,501 1/2,EAST   83 STREET,10028,6465908190,Coffee/Tea,2023-02-24T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,40.773828398358,-73.948193324494,,,,,,,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",29.0,,
50133264,NOM WAH (KIOSK 11),Manhattan,PIER 57,KIOSK 11,10011,6467634242,Chinese,2023-06-27T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Pre-permit (Operational) / Initial Inspection,,,,,,,,,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,36.0,,
50093943,CREME,Manhattan,27 1/2,ESSEX STREET,10002,9173783958,Coffee/Tea,2022-07-27T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,40.715722034668,-73.989675870276,,,,,,,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",9.0,A,2022-07-27T00:00:00.000
50143213,POTBELLY,Queens,TERMINAL C,"LAGUARDIA,",11371,9175363918,Sandwiches,2024-10-30T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Pre-permit (Operational) / Initial Inspection,,,,,,,,,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,4.0,A,2024-10-30T00:00:00.000
50129114,PRIMOS BAKERY CAFE,Queens,4718/20,JUNCTION BLVD,11368,7182713183,Bakery Products/Desserts,2025-01-03T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,,,,,,,,,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,9.0,A,2025-01-03T00:00:00.000
50133264,NOM WAH (KIOSK 11),Manhattan,PIER 57,KIOSK 11,10011,6467634242,Chinese,2023-06-27T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Pre-permit (Operational) / Initial Inspection,,,,,,,,,05H,No approved written standard operating procedure for avoiding contamination by refillable returnable containers.,36.0,,
50067032,DEATH AVENUE: TAP ROOM,Manhattan,,10TH AVE,10001,2126958080,American,2024-12-04T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,,,,,,,,,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",18.0,,
50079558,DUNKIN,Queens,,JFK INTERNATIONAL AIRPORT,11430,3472915130,Donuts,2023-10-03T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,40.648312826068,-73.788281497594,,,,,,,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",7.0,A,2023-10-03T00:00:00.000
41570371,LAVAZZA ESPRESSO BAR,Queens,,JFK INTERNATIONAL AIRPORT,11430,7187511634,American,2017-04-19T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,40.648312826068,-73.788281497594,,,,,,,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",13.0,A,2017-04-19T00:00:00.000
50146943,EL HUASTECO MEXICAN FOOD,Brooklyn,347A-347B,EMPIRE BLVD,11225,6616276320,Mexican,2024-09-26T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Pre-permit (Operational) / Initial Inspection,,,,,,,,,04L,Evidence of mice or live mice in establishment's food or non-food areas.,47.0,,
50006470,DYLAN'S CANDY BAR,Queens,,JFK AIRPORT,11430,7188783029,Other,2019-05-16T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,40.648312826068,-73.788281497594,,,,,,,10H,Proper sanitization not provided for utensil ware washing operation.,4.0,A,2019-05-16T00:00:00.000
50143216,FRESHII (CONCOURSE F),Queens,TERMINAL C,"LAGUARDIA A,",11371,9175363918,Salads,2024-10-30T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Pre-permit (Operational) / Initial Inspection,,,,,,,,,09C,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",12.0,A,2024-10-30T00:00:00.000
50103409,EAT PRETTY COFFEE + KITCHEN,Manhattan,501 1/2,EAST   83 STREET,10028,6465908190,Coffee/Tea,2022-01-06T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Pre-permit (Operational) / Re-inspection,40.773828398358,-73.948193324494,,,,,,,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,12.0,A,2022-01-06T00:00:00.000
41570371,LAVAZZA ESPRESSO BAR,Queens,,JFK INTERNATIONAL AIRPORT,11430,7187511634,American,2018-04-12T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,40.648312826068,-73.788281497594,,,,,,,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,7.0,A,2018-04-12T00:00:00.000
50145844,BBQ CHICKEN AND BEERS,Queens,,TERMINAL 1,11430,7187577660,American,2024-08-28T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Pre-permit (Operational) / Initial Inspection,,,,,,,,,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",8.0,A,2024-08-28T00:00:00.000
50002432,WORLD BEAN,Queens,,JFK INTERNATIONAL AIRPORT,11430,6464775291,American,2017-11-01T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,40.648312826068,-73.788281497594,,,,,,,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,9.0,A,2017-11-01T00:00:00.000
